CA_on,p,py,w,h,t
0,0.0001,0,6,9,499.021
1,0.0001,0,6,9,105714
0,0.0001,0,6,9,1396.61
1,0.0001,0,6,9,52492.3
0,0.0001,0,6,9,1532.17
1,0.0001,0,6,9,32139.6
0,0.0001,0,6,9,1302
1,0.0001,0,6,9,388961
0,0.0001,0,6,9,678.795
1,0.0001,0,6,9,123810
0,0.0001,0,6,9,722.994
1,0.0001,0,6,9,28176.4
0,0.0001,0,6,9,826.185
1,0.0001,0,6,9,176624
0,0.0001,0,6,9,1188.26
1,0.0001,0,6,9,41908.4
0,0.0001,0,6,9,811.575
1,0.0001,0,6,9,19492.2
0,0.0001,0,6,9,1577.79
1,0.0001,0,6,9,79449.9
0,0.0001,0,6,9,726.048
1,0.0001,0,6,9,13698.6
0,0.0001,0,6,9,917.319
1,0.0001,0,6,9,9385.24
0,0.0001,0,6,9,1433.04
1,0.0001,0,6,9,8474.05
0,0.0001,0,6,9,763.168
1,0.0001,0,6,9,42793.1
0,0.0001,0,6,9,1201.84
1,0.0001,0,6,9,58237.9
0,0.0001,0,6,9,1721.35
1,0.0001,0,6,9,89029
0,0.0001,0,6,9,372.184
1,0.0001,0,6,9,208246
0,0.0001,0,6,9,640.231
1,0.0001,0,6,9,170743
0,0.0001,0,6,9,604.552
1,0.0001,0,6,9,3164.16
0,0.0001,0,6,9,666.005
1,0.0001,0,6,9,225528
0,0.0001,0,6,9,1296.57
1,0.0001,0,6,9,116004
0,0.0001,0,6,9,377.637
1,0.0001,0,6,9,32582.6
0,0.0001,0,6,9,1421.68
1,0.0001,0,6,9,66976.3
0,0.0001,0,6,9,808.148
1,0.0001,0,6,9,40646.2
0,0.0001,0,6,9,774.729
1,0.0001,0,6,9,53101.6
0,0.0001,0,6,9,1580.55
1,0.0001,0,6,9,259787
0,0.0001,0,6,9,242.169
1,0.0001,0,6,9,105223
0,0.0001,0,6,9,1377.29
1,0.0001,0,6,9,241074
0,0.0001,0,6,9,1607.46
1,0.0001,0,6,9,12549.5
0,0.0001,0,6,9,647.747
1,0.0001,0,6,9,90604.4
0,0.0001,0,6,9,1092.7
1,0.0001,0,6,9,136420
0,0.0001,0,6,9,1319.19
1,0.0001,0,6,9,1441.24
0,0.0001,0,6,9,1362.58
1,0.0001,0,6,9,53226
0,0.0001,0,6,9,1891.05
1,0.0001,0,6,9,9462.09
0,0.0001,0,6,9,1339.65
1,0.0001,0,6,9,69880
0,0.0001,0,6,9,1106.52
1,0.0001,0,6,9,2647.93
0,0.0001,0,6,9,1042.2
1,0.0001,0,6,9,24311
0,0.0001,0,6,9,1596.77
1,0.0001,0,6,9,51683.5
0,0.0001,0,6,9,849.872
1,0.0001,0,6,9,164114
0,0.0001,0,6,9,501.681
1,0.0001,0,6,9,180682
0,0.0001,0,6,9,772.763
1,0.0001,0,6,9,36658.4
0,0.0001,0,6,9,1299.19
1,0.0001,0,6,9,38956.2
0,0.0001,0,6,9,880.74
1,0.0001,0,6,9,47139.7
0,0.0001,0,6,9,536.18
1,0.0001,0,6,9,98034.4
0,0.0001,0,6,9,729.521
1,0.0001,0,6,9,12182.3
0,0.0001,0,6,9,1032.24
1,0.0001,0,6,9,121550
0,0.0001,0,6,9,1961.34
1,0.0001,0,6,9,21737
0,0.0001,0,6,9,1927.58
1,0.0001,0,6,9,50053.6
0,0.0001,0,6,9,1328.97
1,0.0001,0,6,9,126533
0,0.0001,0,6,9,918.92
1,0.0001,0,6,9,168472
0,0.0001,0,6,9,1335.46
1,0.0001,0,6,9,69006.3
0,0.0001,0,6,9,727.279
1,0.0001,0,6,9,131736
0,0.0001,0,6,9,690.084
1,0.0001,0,6,9,151444
0,0.0001,0,6,9,1665.25
1,0.0001,0,6,9,688224
0,0.0001,0,6,9,1118.08
1,0.0001,0,6,9,18986.1
0,0.0001,0,6,9,925.702
1,0.0001,0,6,9,35144.2
0,0.0001,0,6,9,662.741
1,0.0001,0,6,9,970.576
0,0.0001,0,6,9,1462.25
1,0.0001,0,6,9,72286.4
0,0.0001,0,6,9,894.381
1,0.0001,0,6,9,10169.4
0,0.0001,0,6,9,1261.77
1,0.0001,0,6,9,36851.6
0,0.0001,0,6,9,302.908
1,0.0001,0,6,9,81397.6
0,0.0001,0,6,9,1715.21
1,0.0001,0,6,9,27289.2
0,0.0001,0,6,9,976.432
1,0.0001,0,6,9,102838
0,0.0001,0,6,9,414.012
1,0.0001,0,6,9,3870.17
0,0.0001,0,6,9,2373.32
1,0.0001,0,6,9,117540
0,0.0001,0,6,9,1162.58
1,0.0001,0,6,9,45517.3
0,0.0001,0,6,9,1246.43
1,0.0001,0,6,9,960.804
0,0.0001,0,6,9,1189.77
1,0.0001,0,6,9,103785
0,0.0001,0,6,9,679.449
1,0.0001,0,6,9,155874
0,0.0001,0,6,9,550.581
1,0.0001,0,6,9,29397.2
0,0.0001,0,6,9,1741.52
1,0.0001,0,6,9,13462.5
0,0.0001,0,6,9,1523.25
1,0.0001,0,6,9,153271
0,0.0001,0,6,9,1026.73
1,0.0001,0,6,9,69001.4
0,0.0001,0,6,9,383.537
1,0.0001,0,6,9,57299
0,0.0001,0,6,9,700.662
1,0.0001,0,6,9,132910
0,0.0001,0,6,9,707.498
1,0.0001,0,6,9,12300.9
0,0.0001,0,6,9,1698.02
1,0.0001,0,6,9,3300.96
0,0.0001,0,6,9,879.596
1,0.0001,0,6,9,13392.8
0,0.0001,0,6,9,741.832
1,0.0001,0,6,9,42865.5
0,0.0001,0,6,9,1503.89
1,0.0001,0,6,9,27314.4
0,0.0001,0,6,9,1423.63
1,0.0001,0,6,9,34552.2
0,0.0001,0,6,9,973.888
1,0.0001,0,6,9,10720.1
0,0.0001,0,6,9,1526.98
1,0.0001,0,6,9,70560
